user_id,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,696,697,698,699,700,701,702,703,704,705,706,1119,1120,1121,1122,1123,1124,1125,1401,1402,1403,1404,1405,1406,1407,1704,1705,1706,1707
68, 82, 10, 71, 26, 84, 40, 128, 95, 91, 102, 99, 235, 900, 292, 323, 1427, 296, 374,, 572, 120, 50, 452, 171,, 2581, 73, 140, 179,, 1098,, 613, 169, 53,,, 223, 208, 91,,, 66, 569, 210,, 218,,,, 1126, 221,, 296,, 664,,, 624,, 21, 28, 82, 145, 264, 28, 211, 31,, 825, 360,,,, 122, 92, 304, 40
70, 176, 33, 40, 27, 201, 41, 203, 85, 83, 74, 86, 349, 175, 208, 92, 370,, 309,, 92,, 32, 223,,,, 72,,,, 109,,, 192, 251,,,, 339, 41,,,, 207, 199,, 58,,,, 187, 90,, 91,,,,, 303,,,,,,,,,,,,,,,,,,,
76, 221, 35, 51, 62,, 75, 124,, 130,, 95,,,, 386,,,,, 705,, 131,,,,,,,,,,,,,,,,,,,,,,,,, 63,,,,, 53,,,,,,,,,,,,,,,,,,,,,,,,,,
78, 111, 57, 109, 21,, 58,,,,,,,,, 148,,,,,,, 360,,,,,,,,,,,,,,,,,,,,,,,,, 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, 98, 12, 46, 45, 242, 56,,, 232, 200, 146,,,, 516,,,,, 1638,, 494,,,,,,,,,,,, 310,,,,, 429,,,,,,,, 95,,,,, 60,, 269,,,,,,,,,,,,,,,,,,,,,,,,
81, 12, 6, 19, 13, 42, 14, 40, 36, 50, 21, 32, 24, 65, 85, 25, 43, 34, 53, 78, 27, 104, 19, 55, 107, 217, 49, 121, 75, 124, 87, 31,, 140, 41, 92, 273, 276, 48, 59, 18, 127,, 23, 39, 125,, 21,, 130,, 47, 21,, 98,, 203, 283,, 75, 466, 13, 13, 37, 21, 28, 10, 42, 21, 178, 75, 92, 374, 338,, 34, 26, 25, 17
82, 48, 15, 45, 31, 308, 118,,, 174, 45, 84,,,, 196,,,,, 178,, 66,,,,,,,,,,,,,,,,, 196,,,, 425,,,, 422,,,,, 1235,,,,,,,,, 31, 23, 181, 58,, 41, 310, 133,,,,,,, 342, 60,, 100
87, 150, 7, 39, 26,, 33,,,,,,,,, 168,,,,, 1526,,,,,,,,,,,,,,,,,,,,,,,,,,, 120,,,,, 60,,,,,,,,, 20, 35, 696, 43, 202, 22,,,,,,,,,,,,
89, 94, 9, 73, 24, 83, 26, 575, 472, 513, 33, 121, 519, 1284, 203, 47, 1597, 526, 397, 445, 93, 141, 157, 108, 619,,, 593, 229, 246,, 1247,, 136, 1125, 890,,, 280, 58, 1335, 278,, 1658, 324, 441,, 30,,,, 190, 28,, 184,, 200, 395,, 756,, 18, 27, 154, 18, 251, 9, 73, 14, 215, 908, 577,,,, 63, 95, 140, 186
95, 94, 10, 35, 13, 182, 84,, 140, 57, 183, 106,,,, 69,,,,, 351,, 43, 155,,,,,,,,,, 173,, 385,,,, 38,,,,,,,, 44,,,,, 131,, 193,,,,,,, 22, 18, 115, 87,, 13,,,,,,,,,,,,
102, 52, 35, 59, 89,, 234,,,,,,,,, 355,,,,, 2397,, 133,,,,,,,,,,,,,,,,,,,,,,,,, 67,,,,, 172,,,,,,,,, 20, 17, 293, 100,, 78,, 193,,,,,,, 184, 93, 58, 131
106, 16, 8, 102, 9, 200, 62, 309,, 95,,,,,, 280,,,,, 220,, 155,,,,,,,,,,,,, 179,,,, 64,,,,,,,, 44,,,,, 209,,,,,,,,, 69, 16, 905, 480, 511, 9,, 58,,,,,,,,,,
108, 46, 25, 48, 32, 123, 63, 156, 565, 63, 218, 159, 149, 129, 86, 669, 253, 195, 384, 788, 57,, 32, 420,,,, 588, 111, 419, 452, 601,, 139, 210, 92,,, 427, 153, 1154, 518,, 557, 225, 404,, 236,, 726,, 67, 40,, 161,, 1176, 1157,, 533,, 17, 22, 163, 62, 148, 14, 309, 43, 1882, 91, 200,,,, 32, 100, 30, 75
110, 78, 7, 80, 26, 174, 52, 377, 740, 125, 40, 168, 122, 854,, 38, 392, 381, 801, 1669, 31, 160, 38, 540, 913,, 204, 138, 252, 556,, 91,,, 244, 135,,, 754, 446, 473,,, 601,, 145,, 42,,,, 328, 58,, 86,, 318, 495,, 238,, 91, 36, 247, 107, 106, 25, 253, 67,, 410, 361,,,, 44, 138, 238, 218
111, 178, 12, 29, 20, 131, 64, 1133,, 125, 262, 216, 525,,, 70, 739,,,, 689,, 146, 689,,,, 422,,,,,, 717, 124, 238,,,, 126, 2568,,, 770,, 339,, 139,,,, 308, 245,, 250,, 508,,,,, 23, 23, 188, 91, 175, 26, 178, 96,, 358, 473,,,, 37, 97, 353, 81
112, 28, 10, 26, 14,, 39,,,,,,,,,,,,,,,, 32,,,,,,,,,,,,,,,,,,,,,,,,, 279,,,,, 214,,,,,,,,, 14, 22,,,, 27,, 145,,,,,,, 227, 34,, 58
113, 87, 12, 32, 22,, 216,,, 337,, 462,,,, 478,,,,, 181,, 58, 333,,,,,,,,,, 178,,,,,, 300,,,,,,,, 186,,,,, 82,,,,,,,,,,,,,,,,,,,,,,,,,,
115, 109, 17, 127, 44,, 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116, 118, 49, 40, 60,, 90,, 100, 75, 91, 221, 85,,, 258,,,,, 189,, 65, 217,,,, 281,,,,,,,,,,,, 83,,,, 159,,,,,,,,, 65,, 288,,,,,,, 59, 35, 93, 64, 94, 30, 279, 103,,,,,,, 119, 84, 361, 414
122,, 17, 50, 92,, 41,,,,,,,,, 168,,,,,,, 61,,,,,,,,,,,,,,,,,,,,,,,,, 63,,,,, 52,,,,,,,,, 20, 26,, 118,, 21,, 49,,,,,,, 68,,, 79
123, 92, 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 42,,,,, 16,,,,,,,,,,,,
124, 19, 9,, 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16,,,,,,,,,,,,
126, 83, 23, 35, 246,, 162,,,,,,,,, 56,,,,,,, 239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128, 41, 8,,,, 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132, 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133, 1227, 11, 39, 245, 158, 68,,, 145, 47, 98,,,, 48,,,,, 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134, 112, 24, 49, 23, 200, 26, 234,, 87, 61, 324, 195,,, 77,,,,, 68, 451, 133, 169, 1416, 2734,, 209,,,,,,,,,,,,,,,, 81,,,, 80,,,,, 98,,,,,,,,,,,,,,,,,,,,,,,,,,
135, 77, 23, 32, 15, 122, 42, 71, 48, 89, 141, 41,,, 201, 141,,,, 5970, 471,, 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136, 78, 19,,, 352, 33, 76,, 86,, 160,, 68,, 33,,,,, 474,, 140,,,,,,,,,,,,,,,,,,,,,,,,, 128,,,,, 40,, 118,,,,,,,, 24,,,, 17, 349,,,,,,,,,, 36,
137, 66, 10, 28, 37, 141, 41, 150, 275, 176, 162, 105, 1234, 297, 376, 105, 435, 183, 488, 376, 55, 51, 100, 209, 388, 1078, 484, 248, 385, 230, 213, 582, 2875, 57, 689, 33, 292, 728, 238, 49, 371, 212, 304, 23, 201, 432, 267, 50, 269, 257, 823, 234, 34, 865, 66, 2207, 48, 628, 503, 196, 490, 12, 11, 42, 27, 78, 8, 86, 27,,, 100, 132,,, 23, 34, 62, 84
138, 143, 101, 86, 56, 411, 42, 179, 1403, 242, 288, 80, 168,,, 86, 335,,, 847, 237,, 94, 242, 84, 1606, 839,, 196,,, 68, 4588, 835, 28, 304, 603, 2535,, 248,,,, 33, 873, 69,, 19,,,, 532,,, 91, 2619,,,,, 1206,,,,,,,,,,,,,,,,,,
139, 120, 31, 35, 149, 142, 52, 125, 40,,, 76,,,, 96,,,,, 74,, 119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
